,Left_Z[N],Right_Z[N]
831, 17.2, -22.3
832, 17.2, -22.3
833, 17.2, -22.3
834, 17.2, -22.3
835, 17.2, -22.3
836, 17.2, -22.3
837, 17.2, -22.3
838, 17.2, -22.3
839, 17.2, -22.2
840, 17.2, -22.2
841, 17.2, -22.2
842, 17.1, -22.2
843, 17.1, -22.2
844, 17.1, -22.2
845, 17.1, -22.2
846, 17.1, -22.2
847, 17.1, -22.2
848, 17.1, -22.2
849, 17.1, -22.2
850, 17.1, -22.3
851, 17.1, -22.3
852, 17.1, -22.3
853, 17.1, -22.3
854, 17.1, -22.3
855, 17.1, -22.3
856, 17.1, -22.4
857, 17.1, -22.4
858, 17.1, -22.4
859, 17.1, -22.4
860, 17.0, -22.4
861, 17.0, -22.4
862, 17.0, -22.4
863, 17.0, -22.4
864, 17.0, -22.4
865, 17.0, -22.4
866, 17.0, -22.4
867, 17.1, -22.4
868, 17.1, -22.4
869, 17.1, -22.4
870, 17.2, -22.3
871, 17.2, -22.3
872, 17.2, -22.3
873, 17.2, -22.3
874, 17.2, -22.3
875, 17.2, -22.3
876, 17.2, -22.3
877, 17.2, -22.3
878, 17.2, -22.3
879, 17.2, -22.3
880, 17.2, -22.3
881, 17.2, -22.3
882, 17.2, -22.3
883, 17.2, -22.3
884, 17.3, -22.3
885, 17.3, -22.3
886, 17.3, -22.3
887, 17.3, -22.3
888, 17.3, -22.3
889, 17.3, -22.3
890, 17.3, -22.3
891, 17.3, -22.3
892, 17.3, -22.3
893, 17.3, -22.3
894, 17.3, -22.3
895, 17.3, -22.4
896, 17.3, -22.4
897, 17.3, -22.4
898, 17.3, -22.4
899, 17.3, -22.4
900, 17.3, -22.4
901, 17.3, -22.4
902, 17.3, -22.4
903, 17.3, -22.4
904, 17.3, -22.4
905, 17.3, -22.4
906, 17.3, -22.4
907, 17.3, -22.4
908, 17.3, -22.4
909, 17.3, -22.4
910, 17.3, -22.4
911, 17.3, -22.4
912, 17.3, -22.4
913, 17.3, -22.4
914, 17.3, -22.4
915, 17.2, -22.4
916, 17.2, -22.4
917, 17.2, -22.4
918, 17.2, -22.4
919, 17.2, -22.4
920, 17.2, -22.4
921, 17.2, -22.4
922, 17.2, -22.4
923, 17.2, -22.4
924, 17.2, -22.4
925, 17.2, -22.4
926, 17.2, -22.4
927, 17.2, -22.4
928, 17.2, -22.4
929, 17.2, -22.4
930, 17.2, -22.4
931, 17.2, -22.4
932, 17.2, -22.4
933, 17.2, -22.4
934, 17.2, -22.4
935, 17.2, -22.4
936, 17.2, -22.4
937, 17.2, -22.4
938, 17.2, -22.4
939, 17.2, -22.4
940, 17.2, -22.4
941, 17.2, -22.4
942, 17.2, -22.4
943, 17.2, -22.4
944, 17.2, -22.4
945, 17.2, -22.4
946, 17.2, -22.4
947, 17.2, -22.4
948, 17.2, -22.4
949, 17.2, -22.4
950, 17.2, -22.4
951, 17.2, -22.4
952, 17.2, -22.4
953, 17.2, -22.4
954, 17.2, -22.5
955, 17.2, -22.5
956, 17.2, -22.4
957, 17.2, -22.4
958, 17.2, -22.4
959, 17.2, -22.4
960, 17.2, -22.4
961, 17.2, -22.4
962, 17.2, -22.4
963, 17.2, -22.4
964, 17.2, -22.4
965, 17.2, -22.4
966, 17.2, -22.4
967, 17.2, -22.4
968, 17.2, -22.4
969, 17.1, -22.4
970, 17.1, -22.4
971, 17.1, -22.4
972, 17.1, -22.4
973, 17.1, -22.4
974, 17.1, -22.4
975, 17.1, -22.4
976, 17.1, -22.5
977, 17.1, -22.5
978, 17.1, -22.5
979, 17.1, -22.5
980, 17.1, -22.5
981, 17.1, -22.5
982, 17.1, -22.5
983, 17.1, -22.5
984, 17.1, -22.5
985, 17.1, -22.5
986, 17.1, -22.5
987, 17.1, -22.5
988, 17.1, -22.5
989, 17.1, -22.5
990, 17.1, -22.5
991, 17.1, -22.5
992, 17.1, -22.5
993, 17.1, -22.5
994, 17.1, -22.5
995, 17.1, -22.5
996, 17.1, -22.5
997, 17.1, -22.5
998, 17.1, -22.5
999, 17.1, -22.5
1000, 17.1, -22.5
1001, 17.1, -22.5
1002, 17.1, -22.5
1003, 17.1, -22.5
1004, 17.1, -22.5
1005, 17.1, -22.5
1006, 17.2, -22.5
1007, 17.2, -22.5
1008, 17.2, -22.5
1009, 17.2, -22.5
1010, 17.2, -22.5
1011, 17.2, -22.5
1012, 17.2, -22.5
1013, 17.2, -22.5
1014, 17.2, -22.5
1015, 17.2, -22.4
1016, 17.2, -22.4
1017, 17.2, -22.4
1018, 17.2, -22.4
1019, 17.2, -22.4
1020, 17.2, -22.4
1021, 17.2, -22.4
1022, 17.2, -22.5
1023, 17.2, -22.5
1024, 17.2, -22.5
1025, 17.2, -22.5
1026, 17.2, -22.5
1027, 17.2, -22.5
1028, 17.2, -22.5
1029, 17.2, -22.5
1030, 17.2, -22.5
1031, 17.1, -22.5
1032, 17.1, -22.5
1033, 17.1, -22.5
1034, 17.1, -22.5
1035, 17.1, -22.5
1036, 17.1, -22.5
1037, 17.1, -22.5
1038, 17.1, -22.5
1039, 17.1, -22.5
1040, 17.1, -22.5
1041, 17.1, -22.5
1042, 17.1, -22.5
1043, 17.1, -22.5
1044, 17.1, -22.5
1045, 17.1, -22.5
1046, 17.1, -22.5
1047, 17.1, -22.5
1048, 17.2, -22.5
1049, 17.2, -22.5
1050, 17.2, -22.5
1051, 17.2, -22.5
1052, 17.2, -22.5
1053, 17.2, -22.4
1054, 17.2, -22.4
1055, 17.2, -22.4
1056, 17.2, -22.4
1057, 17.2, -22.4
1058, 17.2, -22.5
1059, 17.2, -22.5
1060, 17.2, -22.5
1061, 17.2, -22.5
1062, 17.2, -22.5
1063, 17.2, -22.5
1064, 17.2, -22.5
1065, 17.2, -22.5
1066, 17.2, -22.5
1067, 17.2, -22.5
1068, 17.2, -22.5
1069, 17.2, -22.5
1070, 17.2, -22.5
1071, 17.2, -22.5
1072, 17.2, -22.5
1073, 17.3, -22.5
1074, 17.3, -22.4
1075, 17.3, -22.4
1076, 17.2, -22.4
1077, 17.2, -22.4
1078, 17.2, -22.4
1079, 17.2, -22.4
1080, 17.2, -22.4
1081, 17.1, -22.4
1082, 17.1, -22.4
1083, 17.1, -22.4
1084, 17.1, -22.4
1085, 17.1, -22.4
1086, 17.1, -22.5
1087, 17.1, -22.5
1088, 17.2, -22.5
1089, 17.2, -22.6
1090, 17.2, -22.6
1091, 17.2, -22.5
1092, 17.2, -22.5
1093, 17.2, -22.5
1094, 17.2, -22.5
1095, 17.2, -22.5
